"ID","Directory","InstanceType","Flags","PVP","MapName_Lang_enUS","MapName_Lang_enGB","MapName_Lang_koKR","MapName_Lang_frFR","MapName_Lang_deDE","MapName_Lang_enCN","MapName_Lang_zhCN","MapName_Lang_enTW","MapName_Lang_zhTW","MapName_Lang_esES","MapName_Lang_esMX","MapName_Lang_ruRU","MapName_Lang_ptPT","MapName_Lang_ptBR","MapName_Lang_itIT","MapName_Lang_Unk","MapName_Lang_Mask","AreaTableID","MapDescription0_Lang_enUS","MapDescription0_Lang_enGB","MapDescription0_Lang_koKR","MapDescription0_Lang_frFR","MapDescription0_Lang_deDE","MapDescription0_Lang_enCN","MapDescription0_Lang_zhCN","MapDescription0_Lang_enTW","MapDescription0_Lang_zhTW","MapDescription0_Lang_esES","MapDescription0_Lang_esMX","MapDescription0_Lang_ruRU","MapDescription0_Lang_ptPT","MapDescription0_Lang_ptBR","MapDescription0_Lang_itIT","MapDescription0_Lang_Unk","MapDescription0_Lang_Mask","MapDescription1_Lang_enUS","MapDescription1_Lang_enGB","MapDescription1_Lang_koKR","MapDescription1_Lang_frFR","MapDescription1_Lang_deDE","MapDescription1_Lang_enCN","MapDescription1_Lang_zhCN","MapDescription1_Lang_enTW","MapDescription1_Lang_zhTW","MapDescription1_Lang_esES","MapDescription1_Lang_esMX","MapDescription1_Lang_ruRU","MapDescription1_Lang_ptPT","MapDescription1_Lang_ptBR","MapDescription1_Lang_itIT","MapDescription1_Lang_Unk","MapDescription1_Lang_Mask","LoadingScreenID","MinimapIconScale","CorpseMapID","CorpseX","CorpseY","TimeOfDayOverride","ExpansionID","RaidOffset","MaxPlayers"
"0","Azeroth","0","0","0","Eastern Kingdoms","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","4","1","-1","0","0","-1","0","0","0"
"1","Kalimdor","0","0","0","Kalimdor","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","3","1","-1","0","0","-1","0","0","0"
"13","test","0","2","0","Testing","","","","","","","","","","","","","","","","16712190","3817","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"25","ScottTest","0","2","0","Scott Test","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"30","PVPZone01","3","0","1","Alterac Valley","","","","","","","","","","","","","","","","16712190","0","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","","","","","","","","","","","","","","","","16712190","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves.The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","","","","","","","","","","","","","","","","16712190","104","1","-1","0","0","-1","0","0","0"
"33","Shadowfang","1","0","0","Shadowfang Keep","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","204","1","0","-230.9894","1571.57","-1","0","0","10"
"34","StormwindJail","1","0","0","Stormwind Stockade","","","","","","","","","","","","","","","","16712190","717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","194","1","0","-8762.379","848.0103","-1","0","0","10"
"35","StormwindPrison","0","0","0","<unused>StormwindPrison","","","","","","","","","","","","","","","","16712190","717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","23","1","0","-8762.477","848.0491","-1","0","0","0"
"36","DeadminesInstance","1","0","0","Deadmines","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","142","1","0","-11207.8","1681.151","-1","0","0","10"
"37","PVPZone02","0","0","1","Azshara Crater","","","","","","","","","","","","","","","","16712190","0","Crush the Alliance!","","","","","","","","","","","","","","","","16712190","Defend yourself from the onslaught of the Horde!","","","","","","","","","","","","","","","","16712191","25","1","-1","0","0","-1","0","0","0"
"42","Collin","0","2","0","Collin's Test","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"43","WailingCaverns","1","0","0","Wailing Caverns","","","","","","","","","","","","","","","","16712190","718","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","143","1","1","-751.1312","-2209.24","-1","0","0","10"
"44","Monastery","1","0","0","<unused> Monastery","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","42","1","0","2892.413","-811.2413","-1","0","0","10"
"47","RazorfenKraulInstance","1","0","0","Razorfen Kraul","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","188","1","1","-4459.449","-1660.212","-1","0","0","10"
"48","Blackfathom","1","0","0","Blackfathom Deeps","","","","","","","","","","","","","","","","16712190","719","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","196","1","1","4249.121","748.3871","-1","0","0","10"
"70","Uldaman","1","0","0","Uldaman","","","","","","","","","","","","","","","","16712190","1337","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","144","1","0","-6060.182","-2954.997","-1","0","0","10"
"90","GnomeragonInstance","1","0","0","Gnomeregan","","","","","","","","","","","","","","","","16712190","721","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","193","1","0","-5162.662","931.5988","-1","0","0","10"
"109","SunkenTemple","1","0","0","Sunken Temple","","","","","","","","","","","","","","","","16712190","1477","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","191","1","0","-10170.1","-3995.968","-1","0","0","10"
"129","RazorfenDowns","1","0","0","Razorfen Downs","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","145","1","1","-4662.883","-2535.872","-1","0","0","10"
"169","EmeraldDream","2","0","0","Emerald Dream","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","40"
"189","MonasteryInstances","1","0","0","Scarlet Monastery","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","190","1","0","2892.235","-811.2637","-1","0","0","10"
"209","TanarisInstance","1","0","0","Zul'Farrak","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","146","1","1","-6790.577","-2891.278","-1","0","0","10"
"229","BlackRockSpire","1","0","0","Blackrock Spire","","","","","","","","","","","","","","","","16712190","1583","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","189","1","0","-7522.527","-1233.042","-1","0","0","10"
"230","BlackrockDepths","1","0","0","Blackrock Depths","","","","","","","","","","","","","","","","16712190","1584","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","103","1","0","-7178.095","-928.6395","-1","0","0","5"
"249","OnyxiaLairInstance","2","0","0","Onyxia's Lair","","","","","","","","","","","","","","","","16712190","2159","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","61","1","1","-4753.313","-3752.421","-1","0","0","40"
"269","CavernsOfTime","1","1","0","Opening of the Dark Portal","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","212","1","1","-8750.827","-4193.513","-1","1","0","5"
"289","SchoolofNecromancy","1","1","0","Scholomance","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","102","1","0","1274.781","-2552.564","-1","0","0","5"
"309","Zul'gurub","2","1","0","Zul'Gurub","","","","","","","","","","","","","","","","16712190","1977","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","161","1","0","-11916.06","-1224.577","-1","0","68400","20"
"329","Stratholme","1","1","0","Stratholme","","","","","","","","","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","101","1","0","3392.317","-3378.483","-1","0","0","5"
"349","Mauradon","1","1","0","Maraudon","","","","","","","","","","","","","","","","16712190","2100","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","81","1","1","-1432.697","2924.978","-1","0","0","10"
"369","DeeprunTram","0","1","0","Deeprun Tram","","","","","","","","","","","","","","","","16712190","2257","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","205","1","0","-8349.224","517.348","-1","0","0","0"
"389","OrgrimmarInstance","1","1","0","Ragefire Chasm","","","","","","","","","","","","","","","","16712190","2437","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","195","1","1","1816.756","-4423.372","-1","0","0","10"
"409","MoltenCore","2","1","0","Molten Core","","","","","","","","","","","","","","","","16712190","2717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","192","1","0","-7510.565","-1036.698","-1","0","0","40"
"429","DireMaul","1","1","0","Dire Maul","","","","","","","","","","","","","","","","16712190","2557","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","82","1","1","-3908.032","1130.004","-1","0","0","5"
