ID,RaceID,SexID,BaseSection,TextureName_1,TextureName_2,TextureName_3,Flags,VariationIndex,ColorIndex
1,1,0,0,Character\Human\Male\HumanMaleSkin00_00.blp,Character\Human\Male\HumanMaleSkin00_00_Extra.blp,,17,0,0
2,1,0,0,Character\Human\Male\HumanMaleSkin00_01.blp,Character\Human\Male\HumanMaleSkin00_01_Extra.blp,,17,0,1
3,1,0,0,Character\Human\Male\HumanMaleSkin00_02.blp,Character\Human\Male\HumanMaleSkin00_02_Extra.blp,,17,0,2
4,1,0,0,Character\Human\Male\HumanMaleSkin00_03.blp,Character\Human\Male\HumanMaleSkin00_03_Extra.blp,,17,0,3
5,1,0,0,Character\Human\Male\HumanMaleSkin00_04.blp,Character\Human\Male\HumanMaleSkin00_04_Extra.blp,,17,0,4
6,1,0,0,Character\Human\Male\HumanMaleSkin00_05.blp,Character\Human\Male\HumanMaleSkin00_05_Extra.blp,,17,0,5
7,1,0,0,Character\Human\Male\HumanMaleSkin00_06.blp,Character\Human\Male\HumanMaleSkin00_06_Extra.blp,,17,0,6
8,1,0,0,Character\Human\Male\HumanMaleSkin00_07.blp,Character\Human\Male\HumanMaleSkin00_07_Extra.blp,,17,0,7
9,1,0,0,Character\Human\Male\HumanMaleSkin00_08.blp,Character\Human\Male\HumanMaleSkin00_08_Extra.blp,,17,0,8
10,1,0,0,Character\Human\Male\HumanMaleSkin00_09.blp,Character\Human\Male\HumanMaleSkin00_09_Extra.blp,,17,0,9
131,1,0,2,Character\Human\FacialLowerHair00_00.blp,Character\Human\FacialUpperHair00_00.blp,,17,0,0
132,1,0,2,Character\Human\FacialLowerHair00_01.blp,Character\Human\FacialUpperHair00_01.blp,,17,0,1
133,1,0,2,Character\Human\FacialLowerHair00_02.blp,Character\Human\FacialUpperHair00_02.blp,,17,0,2
134,1,0,2,Character\Human\FacialLowerHair00_03.blp,Character\Human\FacialUpperHair00_03.blp,,17,0,3
135,1,0,2,Character\Human\FacialLowerHair00_04.blp,Character\Human\FacialUpperHair00_04.blp,,17,0,4
136,1,0,2,Character\Human\FacialLowerHair00_05.blp,Character\Human\FacialUpperHair00_05.blp,,17,0,5
137,1,0,2,Character\Human\FacialLowerHair00_06.blp,Character\Human\FacialUpperHair00_06.blp,,17,0,6
138,1,0,2,Character\Human\FacialLowerHair00_07.blp,Character\Human\FacialUpperHair00_07.blp,,17,0,7
139,1,0,2,Character\Human\FacialLowerHair00_08.blp,Character\Human\FacialUpperHair00_08.blp,,17,0,8
140,1,0,2,Character\Human\FacialLowerHair00_09.blp,Character\Human\FacialUpperHair00_09.blp,,17,0,9
141,1,0,2,Character\Human\FacialLowerHair01_00.blp,,,17,1,0
142,1,0,2,Character\Human\FacialLowerHair01_01.blp,,,17,1,1
143,1,0,2,Character\Human\FacialLowerHair01_02.blp,,,17,1,2
144,1,0,2,Character\Human\FacialLowerHair01_03.blp,,,17,1,3
145,1,0,2,Character\Human\FacialLowerHair01_04.blp,,,17,1,4
146,1,0,2,Character\Human\FacialLowerHair01_05.blp,,,17,1,5
147,1,0,2,Character\Human\FacialLowerHair01_06.blp,,,17,1,6
148,1,0,2,Character\Human\FacialLowerHair01_07.blp,,,17,1,7
149,1,0,2,Character\Human\FacialLowerHair01_08.blp,,,17,1,8
150,1,0,2,Character\Human\FacialLowerHair01_09.blp,,,17,1,9
151,1,0,2,Character\Human\FacialLowerHair02_00.blp,,,17,2,0
152,1,0,2,Character\Human\FacialLowerHair02_01.blp,,,17,2,1
153,1,0,2,Character\Human\FacialLowerHair02_02.blp,,,17,2,2
154,1,0,2,Character\Human\FacialLowerHair02_03.blp,,,17,2,3
155,1,0,2,Character\Human\FacialLowerHair02_04.blp,,,17,2,4
156,1,0,2,Character\Human\FacialLowerHair02_05.blp,,,17,2,5
157,1,0,2,Character\Human\FacialLowerHair02_06.blp,,,17,2,6
158,1,0,2,Character\Human\FacialLowerHair02_07.blp,,,17,2,7
159,1,0,2,Character\Human\FacialLowerHair02_08.blp,,,17,2,8
160,1,0,2,Character\Human\FacialLowerHair02_09.blp,,,17,2,9
161,1,0,2,Character\Human\FacialLowerHair03_00.blp,Character\Human\FacialUpperHair03_00.blp,,17,3,0
162,1,0,2,Character\Human\FacialLowerHair03_01.blp,Character\Human\FacialUpperHair03_01.blp,,17,3,1
