DBC,"HD Characters
(Patch-6)","HD Character Creator and Login, Password Saving, HD Loading Screens (PATCH-C)",Double Fog Distance (PATCH-D),"HD Water 
(PATCH-W)","Worgoblin 
(Patch-G)","Custom DBC
(Patch-Z)",Source,DBC DATABASE BACKUP,
Achievement,,,,,x,x,"Custom DBC
(Patch-Z)",x,
Achievement_Category,,,,,,x,"Custom DBC
(Patch-Z)",x,
Achievement_Criteria,,,,,x,x,"Custom DBC
(Patch-Z)",x,
AnimationData,,,,,x,x,"Custom DBC
(Patch-Z)",x,
BarberShopStyle,,,,,x,x,"Custom DBC
(Patch-Z)",x,
CharacterFacialHairStyles,x,,,,x,,"Worgoblin 
(Patch-G)",NOT WORKING?,
CharBaseInfo,,,,,x,,"Worgoblin 
(Patch-G)",NOT WORKING?,
CharHairGeosets,x,,,,x,x,"Custom DBC
(Patch-Z)",x,
CharHairTextures,,,,,x,x,"Custom DBC
(Patch-Z)",x,
CharSections,x,,,,x,x,"Custom DBC
(Patch-Z)",x,
CharStartOutfit,,,,,x,,"Worgoblin 
(Patch-G)",x,
ChrRaces,,,,,x,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
CreatureDisplayInfo,x,,,,x,x,"Custom DBC
(Patch-Z)",x,
CreatureDisplayInfoExtra,x,,,,x,x,"Custom DBC
(Patch-Z)",x,
CreatureFamily,,,,,,x,"Custom DBC
(Patch-Z)",x,
CreatureModelData,x,,,,x,x,"Custom DBC
(Patch-Z)",x,
CreatureSoundData,,,,,x,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
CurrencyTypes,,,,,,x,"Custom DBC
(Patch-Z)",x,
DungeonEncounter,,,,,,x,"Custom DBC
(Patch-Z)",x,
EmotesTextSound,x,,,,x,,"Worgoblin 
(Patch-G)",x,
Faction,,,,,x,x,"Custom DBC
(Patch-Z)",x,
HelmetGeosetVisData,,,,,x,,"Worgoblin 
(Patch-G)",x,
Item,,,,,x,x,"Custom DBC
(Patch-Z)",x,
ItemDisplayInfo,,,,,x,x,"Custom DBC
(Patch-Z)",x,
ItemExtendedCost,,,,,,x,"Custom DBC
(Patch-Z)",x,
ItemLimitCategory,,,,,,x,"Custom DBC
(Patch-Z)",x,
LFGDungeonExpansion,,,,,,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
LFGDungeonGroup,,,,,,x,"Custom DBC
(Patch-Z)",x,
LFGDungeons,,,,,,x,"Custom DBC
(Patch-Z)",x,
LightFloatBand,,,x,,,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
LightIntBand,,,,,,x,"Custom DBC
(Patch-Z)",x,
LightParams,,,x,,,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
LiquidType,,,,x,,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
LoadingScreens,,x,,,,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
Lock,,,,,,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
Map,,,,,,x,"Custom DBC
(Patch-Z)",x,
MapDifficulty,,,,,,x,"Custom DBC
(Patch-Z)",x,
NameGen,,,,,x,x,"Custom DBC
(Patch-Z)",x,
ParticleColor,,,,,,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
SkillLine,,,,,x,x,"Custom DBC
(Patch-Z)",x,
SkillLineAbility,,,,,x,x,"Custom DBC
(Patch-Z)",x,
SkillRaceClassInfo,,,,,x,x,"Custom DBC
(Patch-Z)",x,
SoundEntries,,,,,x,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
Spell,,,,,x,x,"Custom DBC
(Patch-Z)",x,
SpellIcon,,,,,x,x,"Custom DBC
(Patch-Z)",x,
SpellMissile,,,,,,x,"Custom DBC
(Patch-Z)",x,
SpellMissileMotion,,,,,,x,"Custom DBC
(Patch-Z)",x,
SpellVisual,,,,,,x,"Custom DBC
(Patch-Z)",x,
SpellVisualEffectName,,,,,,x,"Custom DBC
(Patch-Z)",x,
SpellVisualKit,,,,,,x,"Custom DBC
(Patch-Z)",x,
SpellVisualKitAreaModel,,,,,,x,"Custom DBC
(Patch-Z)",x,
SpellVisualKitModelAttach,,,,,,x,"Custom DBC
(Patch-Z)",x,
SpellVisualPrecastTransitions,,,,,,x,"Custom DBC
(Patch-Z)",x,
SummonProperties,,,,,x,x,"Custom DBC
(Patch-Z)",x,
TalentTab,,,,,x,x,"Custom DBC
(Patch-Z)",x,No Changes from Base?
TotemCategory,,,,,,x,,,
VocalUISounds,,,,,x,x,"Custom DBC
(Patch-Z)",x,
