Dungeon,Teleport Orb ID,Teleport Orb Spell,Map,X,Y,Z,Orientation
Ahn’'kahet: The Old Kingdom,900401,,,,,,
Ajzol-Nerub,900402,,,,,,
Arcatraz,900403,,,,,,
Auchenai Crypts,900404,,,,,,
Black Morass,900405,,,,,,
Blackfathom Deeps,900406,91033,,,,,
Blackrock Depths Prison,900407,91025,230,458.3,26.5,-70.6,4.9
Blackrock Depths Upper City,900408,91026,230,881.5,-237.3,-49.9,5.8
Blackrock Spire Lower,900409,91039,,,,,
Blackrock Spire Upper,900410,91040,,,,,
Blood Furnace,900411,91073,,,,,
Botanica,900412,,,,,,
Culling of Stratholme,900413,,,,,,
Deadmines,900414,91031,,,,,
Dire Maul East,900415,91041,,,,,
Dire Maul North,900416,91043,,,,,
Dire Maul West,900417,91042,,,,,
Drak’'Tharon Keep,900418,,,,,,
Forge of Souls,900419,,,,,,
Gnomeregan,900420,91035,,,,,
Gundrak,900421,,,,,,
Halls of Lightning,900422,,,,,,
Halls of Reflection,900423,,,,,,
Halls of Stone,900424,,,,,,
Hellfire Ramparts,900425,91072,,,,,
Magisters' Terrace,900426,,,,,,
Mana-Tombs,900427,,,,,,
Maraudon Orange,900428,91019,349,1019.6,-458.3,-43.4,0.3
Maraudon Pristine Waters,900429,91020,349,495.7,17.3,-96.3,3.1
Maraudon Purple,900430,91018,349,752.9,-616.5,-33.1,1.3
Mechanar,900431,,,,,,
Nexus,900432,,,,,,
Oculus,900433,,,,,,
Old Hillsbrad Foothills,900434,,,,,,
Pit of Saron,900435,,,,,,
Ragefire Chasm,900436,91030,389,3.8,,,
Razorfen Downs,900437,91037,,,,,
Razorfen Kraul,900438,91036,,,,,
Scarlet Monastery Armory,900439,91021,189,1610.8,-323.4,18.6,6.3
Scarlet Monastery Cathedral,900440,91022,189,855.6,1321.5,18.6,0.0
Scarlet Monastery Graveyard,900441,91023,189,1688.9,1053.4,18.6,0.0
Scarlet Monastery Library,900442,91024,189,255.3,-209.0,18.6,6.2
Scholomance,900443,91046,,,,,
Sethekk Halls,900444,,,,,,
Shadow Labyrinth,900445,,,,,,
Shadowfang Keep,900446,91032,,,,,
Shattered Halls,900447,,,,,,
Slave Pens,900448,,,,,,
Steamvault,900449,,,,,,
Stormwind Stockade,900450,91034,,,,,
Stratholme Living,900451,91045,,,,,
Stratholme Undead,900452,91044,,,,,
Sunken Temple Lower,900453,91028,109,-319.2,99.9,-131.8,3.2
Sunken Temple Upper,900454,91028,109,-319.2,99.9,-131.8,3.2
The Underbog,900455,,,,,,
Trial of the Champion,900456,,,,,,
Uldaman East,900457,91038,,,,,
Uldaman West,900458,91047,,,,,
Utgarde Keep,900459,,,,,,
Utgarde Pinnacle,900460,,,,,,
Violet Hold,900461,,,,,,
Wailing Caverns,900462,91029,43,-163.5,,,
Zul''Farrak,900463,91027,209,1214.1,841.4,8.9,6.1
