file_path,filename,category,tagged_feature,content_feature,git_feature,suggested_feature,confidence,suggested_zpak,notes
Classes/zz_classless_raid_buffs.sql,zz_classless_raid_buffs.sql,Classes,,F-004,"F-004, F-005, I-026, I-048, I-094",F-004,medium,classless-buffs,"Found in comments: F-004; Git history: F-004, F-005, I-026, I-048, I-094; Custom content (zz_ prefix)"
Classes/zz_thematic_silencing.sql,zz_thematic_silencing.sql,Classes,,,"F-003, I-034, I-094",F-003,medium,class-changes,"Git history: F-003, I-034, I-094; Custom content (zz_ prefix)"
Classes/zz_travel_form_fix.sql,zz_travel_form_fix.sql,Classes,,,I-094,I-094,medium,class-changes,Git history: I-094; Custom content (zz_ prefix)
Consumables/zz_empowering_scrolls.sql,zz_empowering_scrolls.sql,Consumables,,"I-038, I-093","I-038, I-093",I-038,medium,consumables,"Found in comments: I-038, I-093; Custom content (zz_ prefix)"
Consumables/zz_resistance_scrolls.sql,zz_resistance_scrolls.sql,Consumables,,F-015,"F-015, I-030, I-047, I-093, I-094",F-015,medium,magic-scrolls,"Found in comments: F-015; Git history: F-015, I-030, I-047, I-093, I-094; Custom content (zz_ prefix)"
Dungeons/Auchenai Crypts/zz_exarch_maladaar_[F-035].sql,zz_exarch_maladaar_[F-035].sql,Dungeons,F-035,,F-039,F-035,high,dungeon-tuning,Tagged in filename; Git history: F-039; Custom content (zz_ prefix); Subcategory: Auchenai Crypts
Dungeons/Blackfathom Depths/zz_akumai.sql,zz_akumai.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Blackfathom Depths
Dungeons/Blackrock Depths/zz_emperor_princess_encounter.sql,zz_emperor_princess_encounter.sql,Dungeons,,I-056,I-056,I-056,medium,dungeon-tuning,Found in comments: I-056; Custom content (zz_ prefix); Subcategory: Blackrock Depths
Dungeons/Blackrock Depths/zz_loot_emperor_dagran_thaurissan.sql,zz_loot_emperor_dagran_thaurissan.sql,Dungeons,,,,,manual,dungeon-tuning,Loot table modification; Custom content (zz_ prefix); Subcategory: Blackrock Depths
Dungeons/Blackrock Depths/zz_lord_incendius.sql,zz_lord_incendius.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Blackrock Depths
Dungeons/Blackrock Spire/zz_blackhand_summoner_spawns.sql,zz_blackhand_summoner_spawns.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Blackrock Spire
Dungeons/Botanica/zz_bigger_mutations.sql,zz_bigger_mutations.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Botanica
Dungeons/Botanica/zz_laj_allergic_reaction.sql,zz_laj_allergic_reaction.sql,Dungeons,,,I-093,I-093,medium,dungeon-tuning,Git history: I-093; Custom content (zz_ prefix); Subcategory: Botanica
Dungeons/Deadmines/zz_Rhahk_Zor.sql,zz_Rhahk_Zor.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Deadmines
Dungeons/Dire Maul/zz_loot_King_Gordok.sql,zz_loot_King_Gordok.sql,Dungeons,,,,,manual,dungeon-tuning,Loot table modification; Custom content (zz_ prefix); Subcategory: Dire Maul
Dungeons/Gnomeragan/zz_manual_crowd_pummeler.sql,zz_manual_crowd_pummeler.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Gnomeragan
Dungeons/Hellfire Ramparts/zz_watchkeeper_gargolmar.sql,zz_watchkeeper_gargolmar.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Hellfire Ramparts
Dungeons/Maraudon/zz_grovekeepers_drape.sql,zz_grovekeepers_drape.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Maraudon
Dungeons/Maraudon/zz_princess_theradras.sql,zz_princess_theradras.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Maraudon
Dungeons/Maraudon/zz_razorlash.sql,zz_razorlash.sql,Dungeons,,,I-099,I-099,medium,dungeon-tuning,Git history: I-099; Custom content (zz_ prefix); Subcategory: Maraudon
Dungeons/Ragefire Chasm/zz_molten_elemental.sql,zz_molten_elemental.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Ragefire Chasm
Dungeons/Shadow Labs/zz_murmur.sql,zz_murmur.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Shadow Labs
Dungeons/Shadow Labs/zz_void_traveler_nerf.sql,zz_void_traveler_nerf.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Shadow Labs
Dungeons/Shadowfang Keep/zz_archmage_arugal.sql,zz_archmage_arugal.sql,Dungeons,,,I-099,I-099,medium,dungeon-tuning,Git history: I-099; Custom content (zz_ prefix); Subcategory: Shadowfang Keep
Dungeons/Shadowfang Keep/zz_mob_spectral_projection.sql,zz_mob_spectral_projection.sql,Dungeons,,,,,manual,dungeon-tuning,Creature modification; Custom content (zz_ prefix); Subcategory: Shadowfang Keep
Dungeons/Shadowfang Keep/zz_wolf_master_nandos.sql,zz_wolf_master_nandos.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Shadowfang Keep
Dungeons/Slave Pens/zz_quagmirran.sql,zz_quagmirran.sql,Dungeons,,,,,manual,dungeon-tuning,Custom content (zz_ prefix); Subcategory: Slave Pens
Dungeons/Stockades/zz_bazil_thredd.sql,zz_bazil_thredd.sql,Dungeons,,,I-098,I-098,medium,dungeon-tuning,Git history: I-098; Custom content (zz_ prefix); Subcategory: Stockades
Dungeons/Stockades/zz_dextren_ward.sql,zz_dextren_ward.sql,Dungeons,,,I-098,I-098,medium,dungeon-tuning,Git history: I-098; Custom content (zz_ prefix); Subcategory: Stockades
Dungeons/Stockades/zz_hamhock.sql,zz_hamhock.sql,Dungeons,,,I-098,I-098,medium,dungeon-tuning,Git history: I-098; Custom content (zz_ prefix); Subcategory: Stockades
