City,Teleport Scroll ID,Teleport Spell,Scroll Display,Technique ID,Technique Spell,Incription Level,Vendor ID,Vendor Name,MapID,PositionX,PositionY,PositionZ,Orientation
Ironforge,58500,3562,137642,58550,91014,100,5110;5151,Barim Jurgenstaad;Ginny Longberry,0,-4864.64,-931.35,502.00,3.80
Darnassus,58501,3565,140307,58551,91015,100,3562,Alaindia,1,10038.00,2479.00,1318.90,1.60
Undercity,58502,3563,140306,58552,91013,100,4575;4562,Hannah Akeley;Thomas Mordan,0,1578.09,240.48,-61.58,0.05
Thunder Bluff,58503,3566,140303,58553,91012,100,8361,Chepi,1,-1214.78,62.88,130.59,3.49
Stormwind,58504,3561,136822,58554,91010,100,1307;1275,Charys Yserian;Kyra Boucher,0,-8793.40,650.84,95.48,3.90
Orgrimmar,58505,3567,136820,58555,91009,100,3323;3335,Horthus;Hagrus,1,1601.94,-4316.44,2.76,4.90
Silvermoon City,58506,32272,140301,58556,91016,100,16611,Zalle,0,7554.29,-5331.21,14.07,4.52
Exodar,58507,32271,138484,58557,91017,100,16757,Bildine,1,5656.46,6406.67,-138.39,2.13
Shattrath,58508,33690,136822,58558,91080,300,19678,Fantei,530,-1801.10,5157.30,-39.70,5.50
Dalaran,58509,53140,140606,58559,91011,375,29636,Hagatha Moorehead,571,5897.95,728.94,640.13,5.53
